RelativePath,Date,Time,Species,KakapoID,InteractionRMS,Interaction20R,KakapoID2,InteractionRMS2,Interaction20R2,Notes
ABS01, 16-Oct-2023, 15:58:56,Kakapo,Moss,Look,Touch accidental,,,,
ABS01, 16-Oct-2023, 15:59:20,Kakapo,Moss,Look,Encounter,,,,
ABS01, 16-Oct-2023, 15:59:42,Kakapo,Moss,Encounter,Look,,,,
ABS01, 16-Oct-2023, 16:00:14,Kakapo,Moss,Encounter,Look,,,,
ABS01, 16-Oct-2023, 16:00:56,Kakapo,Moss,Encounter,Encounter,,,,
ABS01, 16-Oct-2023, 16:01:24,Kakapo,Moss,Encounter,Encounter,,,,
ABS01, 16-Oct-2023, 16:01:48,Kakapo,Moss,Look,Encounter,,,,
ABS01, 16-Oct-2023, 16:36:30,Kakapo,Moss,Encounter,Encounter,,,,
ABS01, 16-Oct-2023, 16:39:02,Kakapo,Moss,Look,Look,,,,
ABS01, 16-Oct-2023, 16:39:26,Kakapo,Moss,Look,Look,,,,
ABS01, 16-Oct-2023, 16:39:48,Kakapo,Moss,Encounter,Encounter,,,,
ABS01, 16-Oct-2023, 16:40:16,Kakapo,Moss,Encounter,Encounter,,,,
ABS01, 16-Oct-2023, 16:40:38,Kakapo,Moss,Encounter,Encounter,,,,Bat
ABS01, 16-Oct-2023, 16:41:12,Kakapo,Moss,Encounter,Look,,,,
ABS01, 16-Oct-2023, 16:41:52,Kakapo,Moss,Encounter,Encounter,,,,
ABS01, 16-Oct-2023, 16:49:00,Kakapo,Moss,Encounter,Encounter,,,,
ABS01, 16-Oct-2023, 16:49:22,Kakapo,Moss,Encounter,Encounter,,,,
ABS01, 16-Oct-2023, 16:49:56,Kakapo,Moss,Encounter,Encounter,,,,
ABS01, 16-Oct-2023, 16:50:38,Kakapo,Moss,Encounter,Encounter,,,,
ABS01, 16-Oct-2023, 16:51:00,Kakapo,Moss,Encounter,Encounter,,,,
ABS01, 16-Oct-2023, 16:51:48,Kakapo,Moss,Encounter,Encounter,,,,
ABS01, 16-Oct-2023, 16:52:34,Kakapo,Moss,Encounter,Look,,,,
ABS01, 16-Oct-2023, 16:53:28,Kakapo,Moss,Look,Encounter,,,,
ABS01, 16-Oct-2023, 16:57:50,Kakapo,Moss,Encounter,Encounter,,,,
ABS01, 16-Oct-2023, 16:58:14,Kakapo,Moss,Encounter,Encounter,,,,
ABS01, 16-Oct-2023, 16:59:32,Kakapo,Moss,Encounter,Encounter,,,,
ABS01, 16-Oct-2023, 16:59:54,Kakapo,Moss,Encounter,Encounter,,,,
ABS01, 16-Oct-2023, 17:00:18,Kakapo,Moss,Encounter,Encounter,,,,
ABS01, 16-Oct-2023, 17:00:46,Kakapo,Moss,Encounter,Encounter,,,,
ABS01, 16-Oct-2023, 17:04:04,Kakapo,Moss,Encounter,Encounter,,,,
ABS01, 16-Oct-2023, 17:04:28,Kakapo,Moss,Encounter,Encounter,,,,
ABS01, 16-Oct-2023, 17:05:06,Kakapo,Moss,Encounter,Encounter,,,,
ABS01, 16-Oct-2023, 17:06:24,Kakapo,Moss,Encounter,Encounter,,,,
ABS01, 16-Oct-2023, 17:06:46,Kakapo,Kuihi,Encounter,Encounter,,,,
ABS01, 17-Oct-2023, 11:25:28,Kakapo,Kuihi,Encounter,Encounter,,,,
ABS01, 17-Oct-2023, 11:25:58,Kakapo,Kuihi,Encounter,Encounter,,,,
ABS01, 17-Oct-2023, 11:29:30,Kakapo,Kuihi,Encounter,Encounter,,,,
ABS01, 17-Oct-2023, 11:44:32,Kakapo,Kuihi,Look,Encounter,,,,
ABS01, 17-Oct-2023, 11:44:54,Kakapo,Kuihi,Encounter,Encounter,,,,
ABS01, 17-Oct-2023, 12:28:36,Kakapo,Kuihi,Encounter,Encounter,,,,
ABS01, 17-Oct-2023, 12:29:12,Kakapo,Kuihi,Encounter,Encounter,,,,
ABS01, 17-Oct-2023, 12:29:46,Kakapo,Kuihi,Encounter,Encounter,,,,
ABS01, 17-Oct-2023, 12:30:08,Kakapo,Moss,Encounter,Encounter,,,,
ABS01, 17-Oct-2023, 12:30:30,Kakapo,Moss,Encounter,Encounter,,,,
ABS01, 17-Oct-2023, 12:31:12,Kakapo,Moss,Encounter,Encounter,,,,
ABS01, 17-Oct-2023, 12:33:48,Kakapo,Moss,Encounter,Encounter,,,,
ABS01, 17-Oct-2023, 12:35:06,Kakapo,Moss,Encounter,Encounter,,,,
ABS01, 17-Oct-2023, 12:35:26,Kakapo,Moss,Encounter,Encounter,,,,
ABS01, 18-Oct-2023, 10:38:40,Kakapo,Ian,Encounter,Encounter,,,,
ABS01, 18-Oct-2023, 10:52:14,Kakapo,Ian,Encounter,Encounter,,,,
