RelativePath,Date,Time,Species,KakapoID,InteractionRMS,Interaction20R,KakapoID2,InteractionRMS2,Interaction20R2,Notes
ABS01, 12-Oct-2023, 21:14:28,Kakapo,Cyndy,Look,Encounter,,,,
ABS01, 14-Oct-2023, 05:53:00,Kakapo,Kohitatea,Look,Look,,,,Popsicle stick pull
ABS01, 14-Oct-2023, 05:53:50,Kakapo,Kohitatea,Look,Encounter,,,,
ABS01, 14-Oct-2023, 05:54:30,Kakapo,Kohitatea,Look,Encounter,,,,
ABS01, 14-Oct-2023, 05:54:52,Kakapo,Kohitatea,Look,Touch,,,,
ABS01, 14-Oct-2023, 05:55:14,Kakapo,Kohitatea,Encounter,Consumption,,,,
ABS01, 14-Oct-2023, 06:01:18,Kakapo,Kohitatea,Encounter,Consumption,,,,
ABS01, 14-Oct-2023, 06:01:42,Kakapo,Kohitatea,Encounter,Consumption,,,,
ABS01, 14-Oct-2023, 06:02:22,Kakapo,Kohitatea,Encounter,Consumption,,,,
ABS01, 14-Oct-2023, 06:02:56,Kakapo,Kohitatea,Encounter,Consumption,,,,
ABS01, 14-Oct-2023, 06:04:14,Kakapo,Kohitatea,Encounter,Consumption,,,,
ABS01, 14-Oct-2023, 06:05:24,Kakapo,Kohitatea,Encounter,Consumption,,,,
ABS01, 14-Oct-2023, 06:05:46,Kakapo,Kohitatea,Encounter,Consumption,,,,
ABS01, 14-Oct-2023, 06:08:20,Kakapo,Kohitatea,Encounter,Consumption,,,,
ABS01, 14-Oct-2023, 06:08:58,Kakapo,Kohitatea,Encounter,Consumption,,,,
ABS01, 14-Oct-2023, 06:09:20,Kakapo,Kohitatea,Encounter,Touch accidental,,,,
ABS01, 14-Oct-2023, 06:10:40,Kakapo,Kohitatea,Look,Look,,,,
ABS01, 14-Oct-2023, 06:11:00,Kakapo,Kohitatea,None,None,,,,
ABS01, 14-Oct-2023, 06:14:12,Kakapo,Kohitatea,Encounter,Encounter,,,,
ABS01, 14-Oct-2023, 06:18:06,Kakapo,Kohitatea,None,None,,,,
ABS01, 14-Oct-2023, 06:26:02,Kakapo,Kohitatea,Look,Bite,,,,
ABS01, 14-Oct-2023, 06:26:24,Kakapo,Kohitatea,Touch accidental,Bite,,,,
ABS01, 14-Oct-2023, 06:28:52,Kakapo,Kohitatea,Look,Consumption,,,,
ABS01, 14-Oct-2023, 06:30:48,Kakapo,Kohitatea,Look,Consumption,,,,
ABS01, 14-Oct-2023, 06:31:10,Kakapo,Kohitatea,None,None,,,,
ABS03, 11-Oct-2023, 03:51:34,Kakapo,Tutoko,Encounter,Encounter,,,,
ABS03, 12-Oct-2023, 05:57:38,Kakapo,Hurihuri,Encounter,Encounter,,,,
ABS03, 12-Oct-2023, 20:51:38,Kakapo,Hurihuri,Look,Encounter,,,,
